,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian NCAA,27,23,4,.852,6.11,-8.46,,13,2,,13,0,,5,4,,2096,1634,,72.5,83.5,.395,.346,.495,48.2,48.4,9.1,9.5,.453,24.9,26.9,.270
2,Air Force,25,5,20,.200,-13.06,0.14,,3,17,,3,8,,1,10,,1468,1798,,63.9,112.5,.328,.405,.594,59.9,56.3,9.4,8.2,.574,18.7,35.4,.226
3,Akron,23,15,8,.652,2.63,-1.18,,12,6,,9,1,,5,5,,1798,1660,,70.1,101.8,.261,.339,.515,48.3,44.9,7.9,6.7,.485,14.5,28.6,.186
4,Alabama A&M,15,6,9,.400,-19.25,-15.38,,4,9,,5,2,,1,7,,950,1008,,70.1,94.3,.374,.333,.480,50.2,53.7,11.3,6.9,.440,15.5,29.2,.251
5,Alabama-Birmingham,29,22,7,.759,5.88,-3.76,,13,5,,15,2,,6,4,,2105,1748,,68.9,87.4,.277,.363,.493,48.3,49.0,6.1,8.3,.462,21.2,25.1,.192
6,Alabama State,18,4,14,.222,-24.74,-17.40,,4,14,,3,6,,1,8,,1156,1288,,72.4,98.9,.369,.319,.526,50.9,49.8,10.7,11.4,.489,18.0,29.6,.257
7,Alabama NCAA,30,24,6,.800,20.18,10.38,,16,2,,12,1,,7,3,,2387,2093,,75.1,92.9,.319,.336,.489,49.0,44.0,10.6,14.1,.453,18.2,29.8,.219
8,Albany (NY),16,7,9,.438,-3.70,-4.39,,6,6,,4,5,,2,4,,1110,1099,,69.7,98.6,.293,.369,.540,52.1,48.8,8.1,11.0,.513,18.6,27.3,.202
9,Alcorn State,19,6,13,.316,-19.96,-10.44,,6,7,,4,3,,2,9,,1256,1437,,71.3,106.1,.501,.390,.585,52.2,58.0,9.5,10.8,.554,19.6,30.3,.340
10,American,10,4,6,.400,-2.45,2.05,,4,5,,2,2,,2,4,,691,736,,67.5,103.8,.384,.295,.533,51.8,43.7,12.0,7.8,.502,15.3,29.9,.257
11,Appalachian State NCAA,28,17,11,.607,-5.32,-5.23,,7,8,,9,4,,4,7,,1986,1806,,66.7,94.7,.242,.380,.509,49.4,50.2,8.1,13.1,.482,18.2,27.4,.172
12,Arizona State,25,11,14,.440,5.36,8.12,,7,10,,7,6,,2,6,,1858,1927,,72.6,105.1,.361,.363,.563,55.4,55.6,7.6,8.2,.525,18.2,30.0,.269
13,Arizona,26,17,9,.654,12.68,5.83,,11,9,,12,4,,5,5,,1961,1783,,68.4,99.3,.324,.367,.525,44.9,46.3,7.8,7.0,.492,16.0,24.1,.229
14,Little Rock,26,11,15,.423,-6.30,-5.34,,7,11,,7,4,,2,8,,1786,1782,,67.9,99.9,.272,.394,.535,47.7,53.8,9.6,8.3,.505,17.8,27.4,.197
15,Arkansas-Pine Bluff,25,4,21,.160,-22.89,-8.01,,3,12,,2,3,,2,17,,1549,1921,,69.5,109.4,.383,.333,.567,53.3,59.4,11.8,9.9,.541,16.0,31.7,.258
16,Arkansas State,24,11,13,.458,-7.94,-5.85,,7,8,,9,3,,1,9,,1741,1667,,69.3,99.7,.275,.335,.515,47.5,48.4,9.7,10.2,.481,15.7,27.6,.203
17,Arkansas NCAA,28,22,6,.786,18.07,6.36,,13,4,,16,1,,5,4,,2307,1979,,75.3,93.4,.293,.376,.506,47.2,46.5,8.9,8.8,.476,18.0,26.2,.201
18,Army,21,12,9,.571,4.67,4.77,,7,7,,5,5,,5,3,,1511,1452,,69.9,98.3,.238,.411,.535,50.4,51.2,9.9,9.4,.510,17.7,23.9,.171
19,Auburn,27,13,14,.481,10.29,9.55,,7,11,,8,5,,3,8,,2084,2064,,73.4,103.1,.316,.355,.525,48.0,45.5,11.8,11.5,.496,15.8,31.5,.217
20,Austin Peay,27,14,13,.519,-6.28,-7.84,,10,10,,8,5,,4,6,,2007,1890,,69.0,100.4,.327,.371,.561,47.9,45.4,11.2,6.7,.538,20.6,29.7,.221
21,Ball State,23,10,13,.435,-1.26,-0.52,,8,9,,7,4,,3,8,,1719,1736,,72.0,103.7,.357,.379,.523,50.6,47.1,10.0,7.4,.489,14.8,30.5,.245
22,Baylor NCAA,24,22,2,.917,23.32,5.36,,13,1,,11,0,,7,1,,2025,1594,,70.2,94.1,.317,.343,.521,46.8,51.7,8.7,10.0,.491,21.4,31.0,.217
23,Bellarmine,20,13,7,.650,-1.95,-6.22,,10,3,,6,4,,7,2,,1486,1307,,65.1,100.4,.276,.491,.564,48.6,56.3,7.9,7.2,.541,20.9,26.8,.194
24,Belmont,30,26,4,.867,3.90,-8.28,,18,2,,11,1,,10,2,,2439,2074,,71.9,95.8,.247,.364,.512,49.6,49.9,8.7,10.6,.488,17.9,27.5,.168
25,Binghamton,18,4,14,.222,-11.44,-4.56,,4,10,,1,9,,3,5,,1178,1302,,66.2,107.1,.313,.360,.546,49.8,46.6,10.0,7.9,.515,14.3,27.5,.225
26,Boise State,26,18,8,.692,9.58,0.82,,14,6,,11,1,,6,6,,1981,1725,,70.2,94.0,.274,.348,.517,47.7,45.6,7.4,6.4,.483,18.4,23.3,.203
27,Boston College,20,4,16,.200,1.69,9.84,,2,11,,3,5,,0,7,,1427,1590,,71.9,110.0,.291,.360,.578,52.7,50.1,9.4,10.6,.555,16.3,28.6,.207
28,Boston University,18,7,11,.389,1.11,5.67,,6,10,,2,6,,5,5,,1249,1331,,67.8,109.1,.298,.350,.556,48.8,47.7,9.5,7.3,.535,13.4,26.0,.199
29,Bowling Green State,25,14,11,.560,0.88,-1.45,,10,8,,4,7,,10,3,,1963,1886,,72.2,103.5,.296,.391,.542,50.4,49.6,7.3,9.4,.514,16.7,29.5,.209
