,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,33,23,10,.697,2.66,-2.10,,11,7,,14,3,,6,6,,2519,2191,,1340,703,1625,.433,217,653,.332,568,783,.725,305,1150,360,175,120,709,696
2,Air Force,29,11,18,.379,-5.24,1.76,,4,13,,7,6,,2,10,,1712,1915,,1160,669,1445,.463,150,481,.312,427,562,.760,249,956,317,156,97,373,487
3,Akron NCAA,33,24,9,.727,0.81,-4.32,,14,6,,12,3,,8,4,,2349,2073,,1325,764,1803,.424,217,636,.341,328,467,.702,284,1019,307,178,71,392,632
4,Alabama A&M,30,12,18,.400,-14.19,-8.62,,10,8,,7,3,,4,14,,1843,2010,,1220,718,1791,.401,223,696,.320,351,513,.684,358,1188,405,226,86,408,507
5,UAB NCAA,34,27,7,.794,11.10,-0.71,,14,4,,16,2,,7,4,,2743,2254,,1375,801,1939,.413,232,724,.320,420,591,.711,338,1148,371,185,123,546,534
6,Alabama State,31,10,21,.323,-11.81,-5.21,,8,10,,7,6,,3,15,,2160,2332,,1250,822,1863,.441,231,703,.329,457,632,.723,364,1136,439,239,120,437,554
7,Alabama NCAA,32,19,13,.594,15.51,11.94,,9,9,,13,3,,3,7,,2559,2445,,1285,858,1974,.435,235,709,.331,494,694,.712,374,1158,396,248,121,417,589
8,Albany (NY),31,13,18,.419,-9.73,-5.69,,9,9,,4,8,,8,9,,1917,2042,,1245,720,1641,.439,225,633,.355,377,522,.722,265,1059,388,163,135,423,462
9,Alcorn State,34,17,17,.500,-8.44,-3.88,,14,4,,6,3,,9,13,,2262,2417,,1370,844,1893,.446,232,676,.343,497,694,.716,316,1168,471,234,138,450,582
10,American,32,10,22,.313,-15.30,-7.83,,5,13,,6,5,,4,16,,2031,2270,,1290,849,1794,.473,213,614,.347,359,519,.692,250,1059,433,216,103,367,455
11,Appalachian State,34,19,15,.559,-1.47,-1.47,,12,6,,11,5,,6,7,,2281,2146,,1365,806,1924,.419,227,734,.309,307,407,.754,288,1179,448,177,105,407,518
12,Arizona State,31,14,17,.452,8.19,10.03,,10,10,,9,6,,5,7,,2027,2084,,1260,718,1797,.400,229,737,.311,419,581,.721,352,1234,412,190,97,419,471
13,Arizona NCAA,34,31,3,.912,24.00,6.97,,18,2,,17,0,,9,3,,2875,2296,,1365,855,2207,.387,249,762,.327,337,503,.670,402,1141,400,231,95,440,641
14,Little Rock,28,9,19,.321,-11.81,-0.49,,3,11,,6,7,,1,10,,1868,2047,,1140,743,1579,.471,231,622,.371,330,471,.701,266,982,425,174,73,404,478
15,Arkansas-Pine Bluff,31,7,24,.226,-18.69,-4.31,,5,13,,5,7,,2,17,,2055,2426,,1245,894,1801,.496,201,556,.362,437,600,.728,342,1169,480,231,105,412,526
16,Arkansas State,29,18,11,.621,-3.07,-3.30,,8,7,,11,3,,6,7,,2055,1974,,1165,722,1685,.428,184,559,.329,346,493,.702,291,983,342,206,93,399,500
17,Arkansas NCAA,33,25,8,.758,16.50,8.11,,13,5,,17,1,,5,4,,2539,2262,,1330,783,1907,.411,245,748,.328,451,616,.732,307,1139,426,227,115,494,653
18,Army,31,15,16,.484,-10.48,-7.48,,9,9,,10,4,,4,12,,2183,2182,,1250,819,1854,.442,266,750,.355,278,415,.670,291,1094,445,236,130,430,525
19,Auburn NCAA,32,27,5,.844,20.39,8.71,,15,3,,16,0,,8,3,,2519,2145,,1300,726,1887,.385,214,685,.312,479,657,.729,365,1171,354,238,124,481,564
20,Austin Peay,29,12,17,.414,-9.76,-3.13,,8,10,,6,5,,6,11,,1875,2004,,1175,720,1547,.465,197,585,.337,367,535,.686,277,1007,388,204,101,414,477
21,Ball State,31,14,17,.452,-7.62,-4.19,,9,10,,9,5,,4,9,,2304,2380,,1245,830,1865,.445,287,796,.361,433,603,.718,312,1121,413,229,90,385,611
22,Baylor NCAA,32,26,6,.813,21.96,9.08,,14,4,,15,2,,8,3,,2448,2036,,1285,755,1778,.425,191,638,.299,335,478,.701,310,1025,419,206,89,503,526
23,Bellarmine,33,20,13,.606,-3.47,-0.98,,11,5,,11,4,,8,8,,2314,2217,,1325,789,1790,.441,283,835,.339,356,502,.709,298,1071,411,164,72,389,482
24,Belmont,33,25,8,.758,6.77,-2.29,,15,3,,13,1,,10,5,,2583,2264,,1330,838,1948,.430,265,776,.341,323,457,.707,323,1108,441,221,112,493,478
25,Bethune-Cookman,30,9,21,.300,-14.48,-6.48,,7,11,,4,6,,4,13,,1901,2086,,1210,735,1640,.448,201,614,.327,415,563,.737,290,1048,399,203,139,419,474
26,Binghamton,29,12,17,.414,-10.32,-6.10,,8,10,,5,8,,7,9,,1962,1983,,1165,721,1680,.429,206,625,.330,335,502,.667,285,1023,310,193,98,322,417
