,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,33,23,10,.697,2.66,-2.10,,11,7,,14,3,,6,6,,2519,2191,,71.8,104.7,.374,.357,.537,48.0,56.6,15.1,6.3,.492,14.9,29.2,.281
2,Air Force,29,11,18,.379,-5.24,1.76,,4,13,,7,6,,2,10,,1712,1915,,63.4,93.1,.268,.435,.528,44.6,57.7,8.6,9.1,.509,19.6,19.6,.174
3,Akron NCAA,33,24,9,.727,0.81,-4.32,,14,6,,12,3,,8,4,,2349,2073,,64.3,110.3,.397,.419,.566,53.1,48.6,9.1,9.3,.536,15.4,30.7,.273
4,Alabama A&M,30,12,18,.400,-14.19,-8.62,,10,8,,7,3,,4,14,,1843,2010,,68.3,88.5,.335,.249,.459,48.8,43.4,10.1,8.8,.413,16.9,28.7,.239
5,UAB NCAA,34,27,7,.794,11.10,-0.71,,14,4,,16,2,,7,4,,2743,2254,,70.6,113.1,.285,.332,.560,53.2,43.7,13.5,11.9,.531,13.7,33.9,.211
6,Alabama State,31,10,21,.323,-11.81,-5.21,,8,10,,7,6,,3,15,,2160,2332,,71.4,96.7,.378,.330,.520,48.3,49.7,10.5,9.6,.481,18.7,29.7,.264
7,Alabama NCAA,32,19,13,.594,15.51,11.94,,9,9,,13,3,,3,7,,2559,2445,,73.3,108.7,.336,.480,.550,52.5,52.9,9.5,11.9,.515,16.7,35.6,.245
8,Albany (NY),31,13,18,.419,-9.73,-5.69,,9,9,,4,8,,8,9,,1917,2042,,65.8,93.6,.250,.323,.492,48.4,40.9,10.2,7.5,.462,16.4,26.1,.176
9,Alcorn State,34,17,17,.500,-8.44,-3.88,,14,4,,6,3,,9,13,,2262,2417,,69.0,95.8,.324,.291,.494,51.1,43.1,10.7,7.6,.458,17.3,31.9,.224
10,American,32,10,22,.313,-15.30,-7.83,,5,13,,6,5,,4,16,,2031,2270,,66.8,94.2,.256,.280,.521,48.1,49.9,9.7,8.3,.496,18.0,21.6,.177
11,Appalachian State,34,19,15,.559,-1.47,-1.47,,12,6,,11,5,,6,7,,2281,2146,,65.5,102.0,.273,.430,.513,50.4,51.9,8.5,7.1,.490,13.6,27.3,.180
12,Arizona State,31,14,17,.452,8.19,10.03,,10,10,,9,6,,5,7,,2027,2084,,67.9,94.7,.212,.372,.492,47.2,53.4,9.7,12.4,.471,15.2,24.9,.140
13,Arizona NCAA,34,31,3,.912,24.00,6.97,,18,2,,17,0,,9,3,,2875,2296,,72.9,115.5,.351,.357,.590,55.2,65.4,9.2,13.4,.559,15.5,34.5,.259
14,Little Rock,28,9,19,.321,-11.81,-0.49,,3,11,,6,7,,1,10,,1868,2047,,68.0,96.3,.325,.379,.524,47.3,55.9,10.0,6.3,.485,17.8,24.6,.239
15,Arkansas-Pine Bluff,31,7,24,.226,-18.69,-4.31,,5,13,,5,7,,2,17,,2055,2426,,69.2,95.4,.345,.407,.510,43.9,50.1,10.3,6.4,.470,16.8,24.7,.247
16,Arkansas State,29,18,11,.621,-3.07,-3.30,,8,7,,11,3,,6,7,,2055,1974,,69.5,101.5,.332,.306,.537,51.5,60.7,11.3,8.5,.498,17.4,29.8,.247
17,Arkansas NCAA,33,25,8,.758,16.50,8.11,,13,5,,17,1,,5,4,,2539,2262,,72.1,106.0,.379,.343,.538,52.5,52.9,10.6,11.9,.492,15.0,30.8,.286
18,Army,31,15,16,.484,-10.48,-7.48,,9,9,,10,4,,4,12,,2183,2182,,69.9,99.9,.316,.355,.516,51.3,48.4,11.1,5.3,.494,16.2,30.0,.199
19,Auburn NCAA,32,27,5,.844,20.39,8.71,,15,3,,16,0,,8,3,,2519,2145,,71.4,108.5,.316,.399,.538,52.2,52.2,12.1,21.1,.503,14.2,33.1,.232
20,Austin Peay,29,12,17,.414,-9.76,-3.13,,8,10,,6,5,,6,11,,1875,2004,,66.1,96.5,.266,.443,.508,48.6,58.6,9.6,6.1,.478,18.0,29.5,.188
21,Ball State,31,14,17,.452,-7.62,-4.19,,9,10,,9,5,,4,9,,2304,2380,,71.6,103.4,.374,.412,.549,49.6,51.8,8.4,7.0,.516,17.1,27.1,.260
22,Baylor NCAA,32,26,6,.813,21.96,9.08,,14,4,,15,2,,8,3,,2448,2036,,68.5,111.2,.285,.377,.553,53.7,56.1,12.8,9.6,.529,15.3,36.3,.199
23,Bellarmine,33,20,13,.606,-3.47,-0.98,,11,5,,11,4,,8,8,,2314,2217,,63.8,109.5,.217,.409,.568,48.3,54.4,8.8,5.8,.545,13.3,23.7,.163
24,Belmont,33,25,8,.758,6.77,-2.29,,15,3,,13,1,,10,5,,2583,2264,,70.3,110.5,.266,.434,.585,49.9,62.2,12.8,11.0,.560,15.0,24.6,.197
25,Bethune-Cookman,30,9,21,.300,-14.48,-6.48,,7,11,,4,6,,4,13,,1901,2086,,67.4,93.3,.287,.252,.491,48.2,45.4,11.7,7.1,.459,17.1,28.4,.198
26,Binghamton,29,12,17,.414,-10.32,-6.10,,8,10,,5,8,,7,9,,1962,1983,,67.3,100.1,.230,.356,.523,50.5,44.8,8.4,10.0,.504,16.3,27.2,.152
27,Boise State NCAA,34,27,7,.794,12.61,5.37,,15,3,,13,3,,9,3,,2336,2066,,65.0,104.5,.350,.388,.540,53.9,47.1,9.0,9.9,.516,16.0,30.6,.227
28,Boston College,33,13,20,.394,3.67,4.85,,6,14,,9,7,,2,10,,2209,2248,,65.5,100.7,.296,.324,.511,50.9,50.2,10.8,8.6,.478,15.4,30.0,.208
29,Boston University,33,21,12,.636,-4.57,-7.82,,11,7,,11,4,,8,8,,2353,2225,,65.6,107.5,.291,.376,.556,53.5,43.0,8.7,6.8,.526,16.0,31.2,.213
30,Bowling Green State,31,13,18,.419,-8.48,-4.10,,6,14,,9,7,,3,10,,2488,2495,,74.4,107.1,.315,.371,.535,50.3,44.3,9.8,9.4,.498,14.1,30.7,.233
31,Bradley,31,17,14,.548,6.15,1.55,,11,7,,12,2,,3,8,,2185,2021,,68.1,103.2,.279,.397,.536,54.9,52.4,9.3,13.1,.511,17.1,32.1,.192
32,Brigham Young,32,22,10,.688,10.19,5.59,,9,6,,12,2,,6,5,,2358,2172,,69.0,106.0,.272,.370,.546,54.9,52.1,7.1,8.6,.518,15.9,31.0,.197
33,Brown,29,13,16,.448,-3.31,-1.90,,5,9,,6,7,,6,7,,2058,2015,,69.7,101.8,.308,.393,.529,50.7,47.9,9.6,11.1,.497,16.4,29.4,.218
34,Bryant NCAA,31,22,9,.710,-4.41,-7.47,,15,2,,14,1,,7,7,,2415,2255,,72.7,106.3,.322,.435,.539,52.0,51.5,8.6,10.1,.504,16.1,33.3,.236
35,Bucknell,32,9,23,.281,-14.59,-6.34,,5,13,,7,6,,2,15,,2277,2541,,68.3,101.8,.283,.376,.561,47.1,57.6,6.6,7.9,.528,17.5,21.4,.217
36,Buffalo,30,19,11,.633,2.20,-2.90,,13,6,,9,3,,9,6,,2398,2168,,72.5,110.3,.260,.381,.545,55.0,50.6,9.8,10.8,.520,15.3,37.2,.184
37,Butler,33,14,19,.424,4.67,9.38,,6,14,,9,7,,3,8,,2107,2209,,64.9,97.2,.304,.417,.512,49.1,48.5,7.9,7.0,.480,16.1,26.7,.211
38,Cal Poly,28,7,21,.250,-10.19,-2.90,,4,12,,4,7,,2,12,,1721,1885,,65.5,92.5,.368,.350,.505,51.3,49.7,7.1,7.0,.460,19.5,27.9,.268
39,Cal State Bakersfield,28,9,19,.321,-7.11,-1.55,,2,14,,6,7,,2,11,,1816,1857,,65.6,98.9,.303,.231,.492,52.8,40.9,9.4,8.4,.456,15.1,33.6,.214
40,Cal State Fullerton NCAA,31,21,10,.677,0.31,-2.59,,12,5,,11,2,,7,7,,2178,2051,,67.3,104.5,.359,.302,.542,51.3,45.6,10.8,5.8,.497,15.9,29.7,.274
41,Cal State Northridge,30,7,23,.233,-11.62,-1.01,,3,15,,4,11,,3,11,,1847,2137,,65.7,92.5,.293,.302,.481,46.0,40.6,10.8,7.5,.448,16.1,27.0,.200
